id ;conectividad;Codigo comuna
1;23;15202
2;64;15201
3;59402;15101
4;31;15102
5;43;1403
6;26;1402
7;66;1404
8;58031;1101
9;1762;1401
10;21144;1107
11;143;1405
12;3;2202
13;6615;2301
14;283;2302
15;47197;2201
16;168;2103
17;488;2203
18;2494;2102
19;114943;2101
20;1270;2104
21;724;3201
22;1463;3202
23;3213;3102
24;552;5201
25;43379;3101
26;574;3103
27;329;3304
28;181;3303
29;12021;3301
30;51;3302
31;95;4104
32;71622;4101
33;67901;4102
34;58;4105
35;2040;4106
36;213;4103
37;26;4305
38;19694;4301
39;863;4303
40;256;4304
41;935;4302
42;447;4202
43;4182;4201
44;1381;4202
45;4626;4203
46;218;5404
47;2074;5402
48;5134;5401
49;1033;5403
50;1771;5404
51;2099;5705
52;5213;5105
53;3862;5506
54;1539;5706
55;19227;5701
56;307;5704
57;1381;5702
58;7818;5107
59;13083;5502
60;2392;5503
61;3410;5304
62;6719;5504
63;19528;5301
64;3923;5703
65;2316;5303
66;2775;5302
67;24807;5501
68;19798;5103
69;3458;5803
70;13127;5802
71;119749;5109
72;85899;5101
73;39981;5804
74;53861;5801
75;2118;13303
76;31991;13301
77;22710;13302
78;4749;5102
79;28816;13115
80;50752;13125
81;26385;13107
82;6035;5602
83;32456;13104
84;35337;13132
85;3221;13503
86;30090;13128
87;42393;13127
88;5620;5604
89;34935;13108
90;123940;13114
91;30113;13103
92;38846;13126
93;74439;13123
94;66572;13124
95;28837;13113
96;25755;13117
97;172521;13101
98;4337;5605
99;100766;13120
100;55650;13106
101;54564;13122
102;46092;13118
103;22185;13121
104;24176;13129
105;56466;13130
106;18372;13102
107;153490;13119
108;226;13504
109;14685;13116
110;115024;13110
111;30407;13109
112;22338;13111
113;5936;5603
114;13477;13131
115;41467;13105
116;16018;13604
117;15199;13112
118;66333;13401
119;144652;13201
120;20841;13605
121;2914;13403
122;2297;13202
123;105;5104
124;1162;13203
125;3916;5606
126;15445;13601
127;22973;5601
128;6205;13602
129;18539;13501
130;22020;13402
131;4327;13603
132;6891;13404
133;458;13505
134;234;6205
135;4500;6110
136;1317;6102
137;348;13502
138;8086;6106
139;407;6203
140;75508;6101
141;16433;6108
142;2966;6105
143;76;6202
144;1842;6111
145;1193;6103
146;2729;6116
147;1630;6107
148;2544;6104
149;1301;6114
150;1260;6113
151;1464;6112
152;4095;6201
153;347;6204
154;13340;6115
155;6416;6117
156;893;6109
157;573;6307
158;416;6306
159;18937;6301
160;201;6309
161;415;6308
162;8102;6310
163;72;6206
164;472;6305
165;3383;6303
166;470;6304
167;942;6302
168;2228;7308
169;293;7309
170;1503;7305
171;1616;7306
172;515;7302
173;44112;7301
174;771;7303
175;213;7307
176;289;7103
177;5752;7304
178;575;7108
179;491;7110
180;7125;7102
181;268;7106
182;476;7107
183;71048;7101
184;4946;7105
185;4732;7109
186;9;7104
187;3545;7406
188;1067;7407
189;1427;7402
190;276;7202
191;704;7408
192;968;7203
193;18815;7401
194;1702;7403
195;8338;7201
196;653;7405
197;401;16202
198;7630;7404
199;1026;16201
200;172;16303
201;243;16204
202;8040;16301
203;264;16207
204;2310;16203
205;415;16305
206;141;16205
207;533;16304
208;54966;16101
209;14421;8111
210;1185;16302
211;4872;16103
212;303;16206
213;1299;16106
214;12475;8107
215;2812;16102
216;2303;16107
217;51909;8110
218;18011;8112
219;863;16108
220;82486;8101
221;771;8104
222;45816;8108
223;357;16104
224;25825;8103
225;5580;8105
226;634;16105
227;35878;8102
228;4845;8303
229;11017;8106
230;2679;8313
231;2590;16109
232;1771;8109
233;7411;8202
234;544;8310
235;3922;8304
236;2732;8312
237;80;8302
238;44560;8301
239;175;8309
240;7180;8205
241;5364;8306
242;198;8307
243;5443;8201
244;4313;8206
245;1588;8311
246;278;9209
247;395;8308
248;4801;8305
249;13204;9201
250;4823;8203
251;131;8314
252;3619;9202
253;897;9206
254;992;8204
255;1464;9208
256;768;9204
257;190;9207
258;7208;9211
259;2928;9210
260;142;8207
261;659;9106
262;732;9113
263;2360;9203
264;179;9205
265;7292;9108
266;413;9121
267;2663;9119
268;1542;9102
269;91291;9101
270;3650;9111
271;8176;9112
272;342;9116
273;105;9110
274;1608;9103
275;1756;9105
276;4602;9114
277;955;9117
278;1470;9107
279;406;9118
280;6220;9115
281;13907;9120
282;123;9104
283;4072;9109
284;2900;14106
285;2299;14103
286;3468;14108
287;1005;14105
288;48918;14101
289;1943;14104
290;362;14102
291;2530;14107
292;924;14202
293;7905;14201
294;384;14203
295;4653;14204
296;1047;10307
297;45326;10301
298;30;10306
299;1038;10304
300;1659;10305
301;3131;10303
302;436;10302
303;3559;10105
304;558;10104
305;3348;10107
306;13122;10109
307;802;10106
308;65843;10101
309;470;10108
310;199;10103
311;3234;10102
312;5416;10202
313;491;10403
314;462;10209
315;1232;10205
316;136;10204
317;456;10210
318;9035;10201
319;121;10206
320;1108;10203
321;467;10207
322;554;10401
323;2916;10208
324;641;10402
325;362;10404
326;129;11203
327;132;11102
328;1237;11202
329;4973;11201
330;13003;11101
331;301;11402
332;667;11401
333;623;11301
334;10;11303
335;57;11302
336;56;12402
337;7353;12401
338;9;12102
339;13;12104
340;2;12103
341;11;12302
342;42414;12101
343;1762;12301
344;7;12303
345;197;12201
346;9;12202
